macroarea	concept_id	token_idx	concept_name	token	language_id	concept_id_train	none	onehot	mi-onehot	unc-onehot	macroarea_count	p_value	n_permutations	n_instances
Africa	39	16.0	eye	L	1688.7380952380952	39.0	7.614219813119798	7.691563878740583	-0.07734406562078561	-0.01036416059862725	4	0.99221	100000	22
Africa	39	17.0	eye	N	2500.5457361516033	39.0	5.936834391427341	5.950157512757706	-0.013323121330365046	-0.0020370096401444624	4	0.00311	100000	127
Africa	39	18.0	eye	S	2457.010981912145	39.0	7.1665270277696065	7.201507852983106	-0.034980825213498865	-0.006644922298011932	4	1.0	100000	145
Africa	39	19.0	eye	T	1074.7207977207977	39.0	8.652953483440259	8.741397239543774	-0.0884437561035156	-0.011925837574919895	4	1.0	100000	52
Africa	39	20.0	eye	X	2645.609977324263	39.0	9.21612863259521	9.138209939813938	0.07791869278127099	0.008564104747786459	4	0.0	100000	57
Africa	39	21.0	eye	Z	4072.6923076923076	39.0	10.179855566758375	10.160537793086124	0.01931777367225061	0.0015010371739626071	4	0.25251	100000	13
Africa	39	22.0	eye	a	2256.5793681503374	39.0	2.4992260818801078	2.5882253175334498	-0.08899923565334249	-0.053567787929379156	4	1.0	100000	850
Africa	39	23.0	eye	b	1652.7330043859647	39.0	5.712687808641216	5.83318676211332	-0.12049895347210399	-0.024242243624986927	4	1.0	100000	130
Africa	39	24.0	eye	c	5084.217045454546	39.0	6.942369852192474	6.907748418775472	0.034621433417002315	0.004416785627814519	4	0.00495	100000	85
Africa	39	25.0	eye	d	3132.8848442117583	39.0	5.947164263012151	5.923305353591592	0.023858909420560105	0.002902413623923554	4	0.0	100000	257
Africa	39	26.0	eye	e	2003.6979229528922	39.0	4.026892627376179	4.027199039995895	-0.00030641261971638595	-0.007554237750529761	4	0.03154	100000	555
Africa	39	27.0	eye	f	2709.245973389356	39.0	6.911396165048821	6.940525961425903	-0.02912979637708315	-0.004713947221958533	4	0.99951	100000	94
Africa	39	28.0	eye	g	3083.4783570397517	39.0	5.885685585480195	5.948761186612236	-0.06307560113204201	-0.013198575990981353	4	1.0	100000	208
