language_id	macroarea	item_id	concept_id	Latitude	Longitude	family_size	length	none	onehot	mi-onehot	unc-onehot	iso_code	p_value	n_permutations	n_concepts
6938	Africa	219237.63736263735	50.604395604395606	6.669999999999998	19.79999999999997	116061.0	4.78021978021978	3.8121634582417587	3.8423006615384616	-0.03013720904813188	-0.008796667460879115	bqk	0.975449	1000000	91
6939	Africa	193077.05172413794	44.37931034482759	7.100000000000006	20.0	116061.0	4.568965517241379	3.859406110344828	3.8861556706896554	-0.02674957399793103	-0.007054572302068963	bqk	0.933198	1000000	58
6940	Africa	216116.52631578947	49.86842105263158	3.8000000000000056	18.700000000000024	116061.0	4.828947368421052	3.6871408828947367	3.719934573684211	-0.03279367284907894	-0.00985686764907895	nuu	0.998173	1000000	76
6941	Africa	209017.85869565216	48.21739130434783	5.0	20.40000000000003	116061.0	4.880434782608695	3.7878562163043465	3.8036964065217402	-0.015840195970652175	-0.005349220433695654	nue	0.92717	1000000	92
6942	Africa	210621.0	48.391891891891895	6.180000000000005	20.36999999999997	116061.0	4.662162162162162	3.7829008932432444	3.8152239594594604	-0.03232307691216218	-0.009436321446486484	bqk	0.979472	1000000	74
6943	Africa	216893.64197530865	49.82716049382716	5.399999999999992	26.5	116061.0	4.333333333333333	3.7418982913580248	3.779243327160492	-0.03734502705555557	-0.011363829925061734	swf	0.998071	1000000	81
6944	Africa	200036.2191780822	45.863013698630134	5.300000000000007	19.0	116061.0	4.575342465753424	3.8157504958904123	3.847194528767124	-0.03144403682876712	-0.009460733425205481	bpd	0.972823	1000000	73
6945	Africa	206724.62337662338	47.467532467532465	4.42	20.799999999999972	116061.0	4.753246753246753	3.6748681714285714	3.7244276649350656	-0.049559500519480514	-0.01354957247844156	bjo	0.999651	1000000	77
6946	Africa	222469.66101694916	50.96610169491525	2.3499999999999983	19.25	116061.0	5.245762711864407	3.51853784237288	3.55597108559322	-0.03743325634322035	-0.011252256559576275	bmg	0.999928	1000000	118
6947	Africa	224285.63043478262	51.43478260869565	-1.25	18.33000000000001	116061.0	4.8478260869565215	3.292192208695653	3.335036895652174	-0.04284468475217391	-0.01175971651869565	bli	0.987742	1000000	46
6948	Africa	219635.16101694916	50.47457627118644	2.449999999999995	19.549999999999994	116061.0	5.237288135593221	3.4685450983050843	3.5148750661016956	-0.04632997294144067	-0.013781562850796607	bzm	0.999998	1000000	118
