	concept_id	concept_name	language_id	length	none	onehot	mi-onehot	unc-onehot	p_value	n_permutations	alphas	significant-0.01	significant-0.05	significant-0.10
15	15	woman	4603.378115040787	5.758248365080196	3.878826862558301	3.8775027231192967	0.0013241379783264	-0.001068309034714	0.40298	100000	0.01, 0.05, 0.1	False	False	False
81	81	fire	4126.524145650162	4.9489213322358845	3.771475237025411	3.771067762788951	0.0004074724000248	0.0005210346522276	0.457	100000	0.01, 0.05, 0.1	False	False	False
37	37	head	4562.498055928436	5.461621007579785	3.827799124922677	3.8274099033868056	0.000389220321508	-0.0007807278121173	0.47232	100000	0.01, 0.05, 0.1	False	False	False
54	54	eat	4575.911902955419	5.319745674631195	3.901585455841592	3.901361721636832	0.0002237297220136	0.0003299142212261	0.49201	100000	0.01, 0.05, 0.1	False	False	False
45	45	foot	4529.534858231919	5.898508961460622	3.957016280186841	3.956897406545601	0.0001188795682795	-0.0013398509942881	0.49274	100000	0.01, 0.05, 0.1	False	False	False
96	96	good	4374.675911626517	5.731896918209189	3.93299575396276	3.933282398829304	-0.0002866488664636	-0.0019582179751071	0.52442	100000	0.01, 0.05, 0.1	False	False	False
5	5	who	4105.008318520053	5.16265143633798	3.6591938971161904	3.659986168092371	-0.0007922735974814	0.0001452678367143	0.55873	100000	0.01, 0.05, 0.1	False	False	False
66	66	lie	3904.934721540578	6.552579438737733	4.022721116161428	4.025491838364339	-0.002770725531028	-0.003378398207853	0.59887	100000	0.01, 0.05, 0.1	False	False	False
22	22	tree	4097.62035154559	5.125750747459348	3.782386891398301	3.784181534497691	-0.001794639518331	-0.0004178799298205	0.61287	100000	0.01, 0.05, 0.1	False	False	False
52	52	liver	4083.687770853372	6.035397560950175	3.893426662541389	3.894717489442856	-0.0012908259076184	-0.0017741992311505	0.62789	100000	0.01, 0.05, 0.1	False	False	False
75	75	rain	4456.252040776917	5.371153045150713	3.8457510585946655	3.848099669392771	-0.0023486164100459	-0.0019834135836312	0.68318	100000	0.01, 0.05, 0.1	False	False	False
12	12	big	4869.856357517589	5.9162969275929695	3.7844302846023634	3.787332300552887	-0.002902019689937	-0.0015400021452301	0.6862	100000	0.01, 0.05, 0.1	False	False	False
2	2	we	3670.1460388712567	5.099255952207572	3.7045384616652814	3.7078300092876457	-0.003291549621256	0.0008207056121004	0.70666	100000	0.01, 0.05, 0.1	False	False	False
58	58	know	4012.269368809377	6.2647757409500775	3.962902897342513	3.969851459682721	-0.0069485656005365	-0.0045115855841971	0.74279	100000	0.01, 0.05, 0.1	False	False	False
19	19	bird	4489.040665849852	5.98658744591902	3.901856488115832	3.90668228592046	-0.0048257900926259	-0.0021929762276819	0.80039	100000	0.01, 0.05, 0.1	False	False	False
