,ID,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent,Family
1258,ABAR,Africa,6.58,10.25,NA,mij,NA,Atlantic-Congo
1259,ABON,Africa,6.91,10.88,NA,abo,NA,Atlantic-Congo
1260,AFI_AMANDA,Africa,6.8,10.95,NA,btu,NA,Atlantic-Congo
1261,AGHEM,Africa,6.65,10,NA,agq,NA,Atlantic-Congo
1262,AGHEM_2,Africa,6.65,10,NA,agq,NA,Atlantic-Congo
1263,AGHEM_ISU,Africa,6.67,10,NA,agq,NA,Atlantic-Congo
1264,AGHEM_WEH,Africa,6.67,10,NA,agq,NA,Atlantic-Congo
1265,AGHEM_WUM,Africa,6.67,10,NA,agq,NA,Atlantic-Congo
1266,AKWA,Africa,-0.25,15.85,NA,akw,NA,Atlantic-Congo
1267,ALINGA,Africa,4.75,10.67,NA,tvu,NA,Atlantic-Congo
1268,AMASI,Africa,6,9.58,NA,myg,NA,Atlantic-Congo
1269,AMBELE,Africa,5.92,9.67,NA,ael,NA,Atlantic-Congo
1270,AMBELE_2,Africa,5.92,9.67,NA,ael,NA,Atlantic-Congo
1271,ASU_TANZANIA,Africa,-4.1,37.7,NA,asa,NA,Atlantic-Congo
1272,ASU_TANZANIA_2,Africa,-4.1,37.7,NA,asa,NA,Atlantic-Congo
1273,AUSHI,Africa,-11,29,NA,auh,NA,Atlantic-Congo
1274,AWING,Africa,5.87,10.28,NA,azo,NA,Atlantic-Congo
1275,B11c_GALWA_1,Africa,-1.25,9.5,NA,mye,NA,Atlantic-Congo
1276,B11c_GALWA_2,Africa,-1.25,9.5,NA,mye,NA,Atlantic-Congo
1277,B25_KOTA_2,Africa,0,12.5,NA,koq,NA,Atlantic-Congo
1278,B312_HIMBA,Africa,-16.5,13.75,NA,dhm,NA,Atlantic-Congo
1279,B41_SHIRA,Africa,-1.75,10.5,NA,swj,NA,Atlantic-Congo
1280,B414_VARAMA,Africa,-2.5,10.75,NA,bbg,NA,Atlantic-Congo
1281,B42_SANGU_2,Africa,-1.5,11.83,NA,snq,NA,Atlantic-Congo
1282,B431_VUNGU,Africa,-2.5,11.33,NA,puu,NA,Atlantic-Congo
1283,B44_LUMBU_YI_BANDA,Africa,-3,10.58,NA,lup,NA,Atlantic-Congo
1284,B63_NDUUMO_KUYA,Africa,-1.67,13.58,NA,nmd,NA,Atlantic-Congo
1285,B70_TEKE_OMVULA,Africa,-3.67,15.33,NA,ifm,NA,Atlantic-Congo
1286,B77a_KUKUYA_1,Africa,-2.33,14.5,NA,kkw,NA,Atlantic-Congo
1287,B77a_KUKUYA_2,Africa,-2.33,14.5,NA,kkw,NA,Atlantic-Congo
1288,B78_IWUM_WUUMBU_SUD_TEKE,Africa,-3.67,15.33,NA,ifm,NA,Atlantic-Congo
1289,B85d_TSONG,Africa,-4.67,18.08,NA,soo,NA,Atlantic-Congo
